hour,temp_f,dewpoint_f,humidity_pct,wind_kt
2026-07-20 00:00:00,65.0,55.0,70.05,3.0
2026-07-20 01:00:00,66.0,51.0,58.42,8.0
2026-07-20 02:00:00,64.0,52.0,64.99,6.0
2026-07-20 03:00:00,64.0,51.0,62.64,5.0
2026-07-20 04:00:00,63.0,52.0,67.31,6.0
2026-07-20 05:00:00,63.0,51.0,64.87,0.0
2026-07-20 06:00:00,64.0,52.0,64.99,4.0
2026-07-20 07:00:00,66.0,55.0,67.66,4.0
2026-07-20 08:00:00,69.0,55.0,61.02,3.0
2026-07-20 09:00:00,72.0,53.0,51.22,4.0
2026-07-20 10:00:00,72.0,57.0,59.24,7.0
2026-07-20 11:00:00,73.0,56.0,55.24,6.0
2026-07-20 12:00:00,75.0,54.0,48.04,7.0
2026-07-20 13:00:00,76.0,50.0,40.1,6.0
2026-07-20 14:00:00,78.0,48.0,34.83,7.0
2026-07-20 15:00:00,78.0,49.0,36.16,5.0
2026-07-20 16:00:00,79.0,52.0,39.11,6.0
2026-07-20 17:00:00,76.0,52.0,43.18,8.0
2026-07-20 18:00:00,76.0,56.0,49.97,8.0
2026-07-20 19:00:00,74.0,59.0,59.51,5.0
2026-07-20 20:00:00,72.0,58.0,61.41,7.0
2026-07-20 21:00:00,71.0,61.0,70.7,6.0
2026-07-20 22:00:00,70.0,62.0,75.78,3.0
2026-07-20 23:00:00,68.0,62.0,81.15,0.0
2026-07-21 00:00:00,69.0,63.0,81.22,3.0
2026-07-21 01:00:00,68.0,63.0,84.05,3.0
2026-07-21 02:00:00,68.0,64.0,87.05,0.0
2026-07-21 03:00:00,68.0,64.0,87.05,0.0
2026-07-21 04:00:00,68.0,65.0,90.14,3.0
2026-07-21 05:00:00,69.0,67.0,93.36,6.0
2026-07-21 06:00:00,72.0,67.0,84.3,8.0
2026-07-21 07:00:00,72.0,67.0,84.3,6.0
2026-07-21 08:00:00,73.0,67.0,81.51,7.0
2026-07-21 09:00:00,73.0,68.0,84.37,8.0
2026-07-21 10:00:00,73.0,68.0,84.37,8.0
2026-07-21 11:00:00,74.0,69.0,84.43,13.0
2026-07-21 12:00:00,74.0,71.0,90.38,6.0
2026-07-21 13:00:00,74.0,72.0,93.49,8.0
2026-07-21 14:00:00,73.0,73.0,100.0,0.0
2026-07-21 15:00:00,75.0,73.0,93.52,3.0
2026-07-21 16:00:00,74.0,73.0,96.7,3.0
2026-07-21 17:00:00,73.0,71.0,93.47,9.0
2026-07-21 18:00:00,73.0,71.0,93.47,4.0
2026-07-21 19:00:00,73.0,72.0,96.69,3.0
2026-07-21 20:00:00,74.0,73.0,96.7,0.0
2026-07-21 21:00:00,74.0,73.0,96.7,0.0
2026-07-21 22:00:00,73.0,72.0,96.69,6.0
2026-07-21 23:00:00,73.0,70.0,90.34,9.0
2026-07-22 00:00:00,73.0,69.0,87.31,10.0
2026-07-22 01:00:00,72.0,69.0,90.3,11.0
2026-07-22 02:00:00,72.0,70.0,93.44,14.0
2026-07-22 03:00:00,72.0,70.0,93.44,13.0
2026-07-22 04:00:00,72.0,70.0,93.44,10.0
2026-07-22 05:00:00,72.0,70.0,93.44,11.0
2026-07-22 06:00:00,72.0,70.0,93.44,11.0
2026-07-22 07:00:00,74.0,70.0,87.36,12.0
2026-07-22 08:00:00,75.0,70.0,84.49,10.0
2026-07-22 09:00:00,76.0,70.0,81.72,7.0
2026-07-22 10:00:00,78.0,69.0,73.93,11.0
2026-07-22 11:00:00,80.0,69.0,69.23,13.0
2026-07-22 12:00:00,82.0,68.0,62.69,12.0
2026-07-22 13:00:00,83.0,68.0,60.7,11.0
2026-07-22 14:00:00,85.0,67.0,54.99,10.0
2026-07-22 15:00:00,85.0,67.0,54.99,10.0
2026-07-22 16:00:00,86.0,66.0,51.46,8.0
2026-07-22 17:00:00,83.0,67.0,58.64,9.0
2026-07-22 18:00:00,85.0,64.0,49.55,10.0
2026-07-22 19:00:00,81.0,64.0,56.37,6.0
2026-07-22 20:00:00,79.0,61.0,54.14,6.0
2026-07-22 21:00:00,76.0,59.0,55.67,6.0
2026-07-22 22:00:00,73.0,57.0,57.28,6.0
2026-07-22 23:00:00,71.0,56.0,59.11,12.0
2026-07-23 00:00:00,69.0,55.0,61.02,9.0
2026-07-23 01:00:00,68.0,55.0,63.15,5.0
2026-07-23 02:00:00,66.0,55.0,67.66,4.0
2026-07-23 03:00:00,65.0,54.0,67.55,5.0
2026-07-23 04:00:00,64.0,54.0,69.94,6.0
2026-07-23 05:00:00,62.0,53.0,72.34,4.0
2026-07-23 06:00:00,63.0,54.0,72.44,3.0
2026-07-23 07:00:00,66.0,54.0,65.24,5.0
2026-07-23 08:00:00,69.0,52.0,54.67,8.0
2026-07-23 09:00:00,71.0,51.0,49.22,8.0
2026-07-23 10:00:00,74.0,49.0,41.29,8.0
2026-07-23 11:00:00,75.0,50.0,41.45,7.0
2026-07-23 12:00:00,73.0,54.0,51.37,10.0
2026-07-23 13:00:00,75.0,53.0,46.31,9.0
2026-07-23 14:00:00,77.0,53.0,43.34,10.0
2026-07-23 15:00:00,76.0,53.0,44.8,10.0
2026-07-23 16:00:00,77.0,55.0,46.62,10.0
2026-07-23 17:00:00,77.0,53.0,43.34,7.0
2026-07-23 18:00:00,76.0,55.0,48.19,6.0
2026-07-23 19:00:00,73.0,58.0,59.38,5.0
2026-07-23 20:00:00,72.0,59.0,63.65,9.0
2026-07-23 21:00:00,72.0,58.0,61.41,8.0
2026-07-23 22:00:00,71.0,59.0,65.84,5.0
2026-07-23 23:00:00,69.0,60.0,73.05,3.0
2026-07-24 00:00:00,67.0,58.0,72.85,3.0
2026-07-24 01:00:00,64.0,58.0,80.85,3.0
2026-07-24 02:00:00,63.0,58.0,83.73,0.0
2026-07-24 03:00:00,62.0,58.0,86.73,4.0
2026-07-24 04:00:00,61.0,56.0,83.6,3.0
2026-07-24 05:00:00,61.0,57.0,86.68,4.0
2026-07-24 06:00:00,64.0,58.0,80.85,3.0
2026-07-24 07:00:00,67.0,58.0,72.85,3.0
2026-07-24 08:00:00,70.0,58.0,65.72,5.0
2026-07-24 09:00:00,72.0,59.0,63.65,4.0
2026-07-24 10:00:00,73.0,61.0,66.08,6.0
2026-07-24 11:00:00,76.0,61.0,59.78,6.0
2026-07-24 12:00:00,78.0,55.0,45.11,7.0
2026-07-24 13:00:00,77.0,51.0,40.26,6.0
2026-07-24 14:00:00,78.0,52.0,40.42,7.0
2026-07-24 15:00:00,78.0,52.0,40.42,6.0
2026-07-24 16:00:00,78.0,53.0,41.93,5.0
2026-07-24 17:00:00,78.0,53.0,41.93,5.0
2026-07-24 18:00:00,76.0,60.0,57.69,7.0
2026-07-24 19:00:00,73.0,56.0,55.24,7.0
2026-07-24 20:00:00,71.0,55.0,57.0,5.0
2026-07-24 21:00:00,71.0,57.0,61.28,4.0
2026-07-24 22:00:00,70.0,59.0,68.12,3.0
2026-07-24 23:00:00,69.0,60.0,73.05,0.0
2026-07-25 00:00:00,66.0,60.0,81.0,0.0
2026-07-25 01:00:00,66.0,60.0,81.0,4.0
2026-07-25 02:00:00,64.0,58.0,80.85,5.0
2026-07-25 03:00:00,62.0,57.0,83.67,4.0
2026-07-25 04:00:00,62.0,57.0,83.67,6.0
2026-07-25 05:00:00,60.0,57.0,89.81,5.0
2026-07-25 06:00:00,63.0,58.0,83.73,4.0
2026-07-25 07:00:00,66.0,58.0,75.41,4.0
2026-07-25 08:00:00,71.0,57.0,61.28,6.0
2026-07-25 09:00:00,73.0,53.0,49.52,6.0
2026-07-25 10:00:00,75.0,49.0,39.94,8.0
2026-07-25 11:00:00,74.0,56.0,53.42,8.0
2026-07-25 12:00:00,74.0,53.0,47.89,9.0
2026-07-25 13:00:00,75.0,52.0,44.64,10.0
2026-07-25 14:00:00,76.0,54.0,46.47,11.0
2026-07-25 15:00:00,76.0,54.0,46.47,8.0
2026-07-25 16:00:00,75.0,53.0,46.31,5.0
2026-07-25 17:00:00,75.0,57.0,53.57,7.0
